TITLE,YEAR,BIBREF,AUTHORS,JOURNAL,DETECTED_METHODS,CONFIDENCE,HAS_METHODS,UNCERTAINTY_STATEMENTS,DECISION_ANALYSIS,POLICY_INTERVENTION,UNCERTAINTY_ANALYSIS,STAKEHOLDER_EXPERT,MODELING_SIMULATION,BAYESIAN_PROBABILISTIC,COMPUTER_ASSISTED,VALUE_INFORMATION,MULTI_CRITERIA,OPTIMIZATION,ECONOMIC_EVALUATION,GAME_THEORY,BEHAVIORAL_PSYCHOLOGY,SYSTEMS_COMPLEXITY,TECHNOLOGY_INNOVATION,ENVIRONMENTAL_SUSTAINABILITY,QUALITY_PERFORMANCE,RISK_SAFETY,FORECASTING_PREDICTION,EVALUATION_ASSESSMENT,ABSTRACT,KEYWORDS
An Explanatory Study on the Co-evolutionary Mechanisms of Business IT Alignment,,amarilliExplanatoryStudyCoevolutionary,"Amarilli, Fabrizio",,TECHNOLOGY_INNOVATION(0.45),0.022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Business IT Alignment is considered an enduring topic in academic and practitioners' literature. The interest in the subject is justified by the link, demonstrated by several studies, between alignment and corporate performances. However, alignment research has not yet been translated into practices, theoretically demonstrated in literature and applied to companies. The interpretation of alignment as a function of independent factors and the underestimation of the complex nature of alignment process are considered key barriers in alignment achievement. The present study is based on a multicase study analysis carried out in two companies that implemented alignment processes. We conceptualise alignment as a co-evolution process and derive four mechanisms and three types of parameters and explain their role in alignment implementation. The contribution is theoretical, since we analyse and describe mechanisms and factors that govern alignment, and for the practitioners, since knowledge of these mechanisms is precondition for an effective alignment implementation.",bin; read CW
Analysis of ICT Strategic Alignment in a Public Organisation,,al-hatmiAnalysisICTStrategic,"Al-Hatmi, Abdullah",,GAME_THEORY(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,bin; read CW
Annotated Listing of New Books,,factsAnnotatedListingNew,"Facts, Distorted and Rewards, Ample",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Applicability of the Law of Requisite Variety In Major Military System Acquisition,,ApplicabilityLawRequisite,,,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"In 2005, the U.S. military found itself inadequately prepared with doctrine and materiel to wage counterinsurgency operations in Iraq. As the insurgency adapted to American tactics, the high mobility multipurpose wheeled vehicle HMMWV became a target of the insurgency because of its lack of armor, which led to significant casualties caused by improvised explosive devices IEDs. The U.S. response to the IED threat to HMMWVs was to procure the Mine Resistant Ambush Protected MRAP vehicle, a costly endeavor. The MRAP increased Soldier and Marine survival rates during IED attacks, but other aspects of the vehicle contradicted counterinsurgency strategy. Because of its survivability, leaders expected tactical commanders to use the MRAP, which reduced tactical commanders variety of options to engage the enemy. This research explores the value of variety in major military systems by applying concepts from the Law of Requisite Variety and uses the MRAP as an example of a materiel solution throughout. Increasing system variety conflicts with current acquisition practices, which prefer commonality. This research finds that warfighter capabilities increase with variety, but variety is contra to achieving commonality and cost savings. To achieve a balance between commonality and variety, the authors suggest organizational and system hardware alternatives.",bin; read CW
Applying Gross Savings and Net Savings in an Integrated Policy Framework,,rathbunApplyingGrossSavings,"Rathbun, Pam and Tech, Tetra and Lutz, Teresa and Energy, Michaels and Titus, Elizabeth and Partnerships, Northeast Energy Efficiency",,POLICY_INTERVENTION(0.40),0.02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; linter/error; read CW
"Appointments, Honors, and Grants",,parrishAppointmentsHonorsGrants,"Parrish, Terri",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; linter/error; read CW
"Appointments, Honors, and Grants",,semerAppointmentsHonorsGrants,"Semer, Maryann",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
"Arlington, Virginia 22203 Air Force Materiel Command",,willcoxArlingtonVirginia22203,"Willcox, Karen",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Assessing Functionality and Modifiability in ECM-systems,,ullbergAssessingFunctionalityModifiability,"Ullberg, Johan",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
"Assessing and Evaluating Department of Defense Efforts to Inform, Influence, and Persuade: Work Example",,AssessingEvaluatingDepartment,,,GAME_THEORY(0.35); EVALUATION_ASSESSMENT(1.00),0.068,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"The U.S. Department of Defense DoD spends more than 250 million per year on information operations IO and information-related capabilities for influence efforts at the strategic and operational levels. How effective are those efforts Are they well executed How well do they support military objectives Are they efficient cost-effective Are some efforts better than others in terms of execution, effectiveness, or efficiency Unfortunately, generating assessments of efforts to inform, influence, and persuade IIP has proved to be challenging across the government, including DoD. Challenges include difficulties associated with observing changes in behavior and attitudes, lengthy timelines to achieve impact, causal ambiguity, and struggles to present results in ways that are useful to stakeholders and decision makers. Previous RAND research, published in handbook and desk reference formats, distilled and synthesized insights and advice for improving the assessment of DoD IIP efforts and programs, drawing on a comprehensive literature review and more than 100 interviews with subject-matter experts. This report expands on those previous publications by providing a worked example an extended, concrete discussion of planning for IIP assessment in the context of a realistic military operation. It complements those earlier reports ideally, the reader has read the handbook or will read it in parallel with this report and will refer to the desk reference for detailed explanations of the principles, concepts, and terms illustrated here. To increase the accessibility of this work and provide a more immersive experience for the reader, the example is presented as input to the assessment planning activities of a fictitious narrator, MAJ John Fnorky, the J39 IO officer on an equally fictitious joint task force conducting the fictitious Operation Gathered Resolve in the fictitious country of Takanwei.",bin; read CW
Assessment of Uncertainties,,vanderzwaanAssessmentUncertainties,"van der Zwaan, Bob and Rabl, Ari",,EVALUATION_ASSESSMENT(0.40),0.02,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,bin; read CW
"Authors Pike, Eva,(Project Leader), Researcher Torkilseng, Einar Bj rner, Researcher S terdal, Ingvil, Researcher Jimenez, Enrique, Researcher",,odgaard-jensenAuthorsPikeEvaproject,"Odgaard-Jensen, Jan and Harboe, Ingrid and Klemp, Marianne",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; linter/error; read CW
Balancing Production Speed and Development Learning in Smart Industries,,alblasBalancingProductionSpeed,"Alblas, Alex and Zwaans, Fr\""ank and Schepens, Sander",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
"Bayesian Ideas and Discrete Event Simulation: Why, What and How",,perroneBAYESIANIDEASDISCRETE,"Perrone, L. F. and Wieland, F. P. and Liu, J. and Lawson, B. G. and Nicol, D. M. and Fujimoto, R. M.",,MODELING_SIMULATION(0.40); BAYESIAN_PROBABILISTIC(0.90),0.065,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bayesian; bin; linter/error; read CW
Booklet of Abstracts,,bostonBookletAbstracts,"Boston, U. S.",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Cal/Med,,tomichCalMed,"Tomich, Thomas P. and Garbach, Kelly and Cantor, Alida",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
"California Agroecosystem Services: Assessment, Valuation and Policy Perspective",,antleCaliforniaAgroecosystemServices,"Antle, John and Kuminoff, Nicolai V.",,SYSTEMS_COMPLEXITY(0.40); ENVIRONMENTAL_SUSTAINABILITY(0.40); EVALUATION_ASSESSMENT(0.40),0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,,bin; read CW
Can Global Reporting Initiative Become a Global Institution?(Part I: The Rise of the GRI as a Case of Institutional Entrepreneurship),,brownCanGlobalReporting,"Brown, Halina Szejnwald and Lessidrenska, Teodorina",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Cetuximab plus Radiotherapy for the Treatment of Locally Advanced Squamous Cell Carcinoma of the Head and Neck,,northernCetuximabRadiotherapyTreatment,"Northern, N. H. S. and Drug, Yorkshire Regional",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; linter/error; read CW
Choosing Responses,,moldanChoosingResponses,"Moldan, Bedrich and H\'ak, Tom\'as",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; linter/error; read CW
"Chronic Pain Program Development: Old Town Clinic, Central City Concern",,theuschChronicPainProgram,"Theusch, Jennifer and Gonzales, Jessica",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
"College of Business Administration Alvah H. Chapman, Jr., Graduate School of Business",,elamCollegeBusinessAdministration,"Elam, Joyce J. and Rojas, Annabelle and Butchey, Deanne and Director, Undergraduate Advising and Ferguson, Kelly G. and Director, Ph D. and Prakash, Arun and Burgos, Angel and Education, Business and Blevens, Charlene",Graduate Course Catalog (florida International University).[2006-2007],NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Comments and Questions on This Draft Discussion Paper Are Requested and Would Be Greatly Appreciated by the Authors,,crawfordCommentsQuestionsThis,"Crawford, Steve and Matchett, Sarah and Reid, Kevin",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Comparative Effectiveness of New Oral Anticoagulants for Thromboprophylaxis,,adamComparativeEffectivenessNew,"Adam, Soheir S",,EVALUATION_ASSESSMENT(0.70),0.035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Background.......................................................................................................................................................1 Methods............................................................................................................................................................2 Data Synthesis..................................................................................................................................................2 Rating the Body of Evidence............................................................................................................................2 Peer Review......................................................................................................................................................3 Results..............................................................................................................................................................3 Recommendations for Future Research............................................................................................................9 Conclusion........................................................................................................................................................9 Abbreviations Table........................................................................................................................................10,bin; read CW
Comparison of Experts in the Non-Additive Case,,jean-philippeComparisonExpertsNonadditive,"Jean-Philippe, Lefort",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Continuous Quality Improvement for Cost-Effective Research (QICER): Assessing Health Outcome Analyses and Global Policy,,mcghanContinuousQualityImprovement,"McGhan, William",,QUALITY_PERFORMANCE(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,bin; linter/error; read CW
"Council, Washington, DC; National Aeronautics and Space. Administration, Washington, DC",,washinigtonCouncilWashingtonDC,"Washinigton, D. C.",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Current Issues in Victimization Research and the NCVS's Ability to Study Them,,addingtonCurrentIssuesVictimizationa,"Addington, Lynn A",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Cyber Intelligence Tradecraft Report,,CyberIntelligenceTradecrafta,,,COMPUTER_ASSISTED(1.00); QUALITY_PERFORMANCE(0.35),0.068,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"This report details the findings of a study the Software Engineering Institute SEI at Carnegie Mellon University conducted at the request of the United States Office of the Director of National Intelligence ODNI. Our mission was simple understand how organizations across sectors conduct the work of cyber intelligence and share our findings. In this report, we describe the practices of organizations that are performing well and the areas where many organizations struggle, and we identify the models, frameworks, and innovative technologies driving cyber intelligence today. We believe this report can provide a starting point to enable organizations across the country to adopt best practices, work together to fix common challenges, and reduce the risk of cyberthreats to the broader cyber community.",bin; read CW
Cyber Intelligence Tradecraft Report the State of Cyber Intelligence Practices in the United States,,CyberIntelligenceTradecraft,,,COMPUTER_ASSISTED(1.00),0.05,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,This report details the findings of a study the Software Engineering Institute SEI at Carnegie Mellon University conducted at the request ofthe United States Office of the Director of National Intelligence ODNI. Our mission was simple understand how organizations across sectorsconduct the work of cyber intelligence and share our findings.,bin; read CW
Data-Driven Decision Analysis in Electric Power Systems,,dunnDatadrivenDecisionAnalysis,"Dunn, Laurel N",,DECISION_ANALYSIS(0.40),0.02,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Decision Analysis for Cost Benefit Studies--Example: HIV Test-How Do We Handle Uncertainty of Parameter Estimation?,,becherDecisionAnalysisCost,"Becher, J\""urgen",,DECISION_ANALYSIS(0.40),0.02,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Description of Adaptation Options and Their Costs and Benefits,,scussoliniDescriptionAdaptationOptions,"Scussolini, Paolo and Kaprov\'a, K. and Melichar, J. and De Murieta, E. S.",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Determinants of Individual-Level Demand Forecasting Performance,,DeterminantsIndividuallevelDemand,,,SYSTEMS_COMPLEXITY(0.45); FORECASTING_PREDICTION(1.00); EVALUATION_ASSESSMENT(0.35),0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"Since Congresss 2010 mandate to remedy demand forecasting, Department of Defense supply chain leaders have made great progress in improving forecasting methods and policy. However, relatively little attention has been given to the human element of forecasting. According to Morelidge 2016 it is the quality of forecasts reviewed and adjusted by individual forecasters that are most impactful for supply chain planning. In addition to forecasting methods and procedures, research literature suggests management practices may also affect forecasters performance. However, there has been limited empirical evidence supporting this claim. This research effort sought to investigate if and how management practices are linked to forecaster performance. In particular, this research investigated if perceptions of the technology used for forecasting and the organizational context within which forecasting takes place could explain variation in individual-level forecasting performance. Using Air Force forecasters as the sampling frame, a combination of survey data and historical forecasting performance data were analyzed to explore the relationships between these variables. The results of this research effort suggest that management practices do affect forecaster performance and make the case for a broader approach to forecasting improvement initiatives.",bin; read CW
Diverging Incentives and Evolutionary Dynamics within Supply-Chain',,antonelliDivergingIncentivesEvolutionary,"Antonelli, G. and Mollona, E. and Moschera, L.",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Economic Evidence in Antitrust: Defining Markets and Measuring Market Power Jonathan B. Baker and Timothy F. Bresnahan,,powerEconomicEvidenceAntitrust,"Power, Measuring Market",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; linter/error; read CW
Effect of Information Technology Dimensions on Enterprise Risk Management,,saeidiEffectInformationTechnology,"Saeidi, Parvaneh and Sofian, Saudah and Rasid, Siti Zaleha Abdul and Saaeidi, Seyyed Alireza",,UNCERTAINTY_ANALYSIS(0.40); RISK_SAFETY(0.40),0.04,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,bin; read CW
Electronic Communications Privacy Act,,repersentativesElectronicCommunicationsPrivacy,"Repersentatives, House Of",,COMPUTER_ASSISTED(0.40),0.02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; linter/error; read CW
Electronic Supply Chain Management: Some Latest Issues and Practices,,arabiaElectronicSupplyChain,"Arabia, Saudi",,COMPUTER_ASSISTED(0.40); SYSTEMS_COMPLEXITY(0.40),0.04,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,bin; read CW
Enclosure a US Environmental Protection Agency Science Advisory Board Expert Elicitation Advisory Panel,,jacksonEnclosureUSEnvironmental,"Jackson, Lisa P. and Jackson, Dear Administrator",,STAKEHOLDER_EXPERT(0.40),0.02,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Ethical Dilemmas,,harringtonEthicalDilemmas,"Harrington, Lauren A. and Lloyd, Natasha and Moehrenschlager, Axel",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
FOCUS Program,,chenFOCUSProgram,"Chen, Hui Ling and Kao, Tsui-Sui Annie and Reuille, Kristina M. and Northouse, Laurel",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
For Official Use DSTI/ICCP/IE (2006) 7/REV1,,webOfficialUseDSTI,"Web, Participative and Content, User-Created",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Frugality in Reasoning and the Role of Summary,,gibbonFrugalityReasoningRole,"Gibbon, Janet Aisbettand Greg",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Graduate Course Descriptions Effective Fall 2008,,engrgGraduateCourseDescriptions,"Engrg, Mechanical Eng-",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Guidance,,refsgaardGuidance,"Refsgaard, Jens Christian and van der Sluijs, Jeroen P. and Hjberg, Anker Lajer and Vanrolleghem, Peter",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; linter/error; read CW
Guidance for the Assessment of Treatment Moderation and Patients' Preferences,,kievitGuidanceAssessmentTreatment,"Kievit, Wietske and van der Wilt, Gert Jan",,EVALUATION_ASSESSMENT(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,bin; read CW
HEDS Discussion Paper,,grimmHEDSDiscussionPaper,"Grimm, Sabine and Dixon, Simon and Stevens, John W.",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Handling Changes through Diagrams,,ciuccarelliHandlingChangesDiagrams,"Ciuccarelli, Paolo and Ricci, Donato and Valsecchi, Francesca",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Health Economics and Decision Science Discussion Paper Series No. 08/08,,madanHealthEconomicsDecision,"Madan, Jason and Cooper, Katy L. and Stevenson, Matt D. and Whyte, Sophie and Akehurst, Ron",,ECONOMIC_EVALUATION(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,bin; linter/error; read CW
IMA Health 2007,,chaussaletIMAHealth2007,"Chaussalet, Thierry",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
IT INVESTMENTS AND FIRM PERFORMANCE an Analytic and Empirical Investigation,,aziendaliITINVESTMENTSFIRM,"Aziendali, Dottorato In Sistemi Informativi",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Idea Appropriation \& Entrepreneurship within Organizations,,pandherIdeaAppropriationEntrepreneurship,"Pandher, G. S.",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; linter/error; read CW
Identification of Options and Policy Instruments for the Internalisation of External Costs of Electricity Generation,,electricityIdentificationOptionsPolicy,"Electricity, Electricity Supply Making",,POLICY_INTERVENTION(0.40),0.02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Impacts of Future Environmental Change on Climate-and Air Pollution-Mediated Human Health: Part I-track Record Exploratory Award,,dohertyImpactsFutureEnvironmental,"Doherty, R. M. and Stevenson, D. S. and Stevenson, D. S. and Doherty, R.",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Improving Engineering Information Access and Knowledge Discovery through Model-Based Information Navigation,,jonesImprovingEngineeringInformation,"Jones, David Edward",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Individual Level Simulation for the Design of Cost-Effective Research Portfolios in Elderly Breast Cancer: Using Indirect Evidence to Derive Prior Distributions for Simulation Parameters,,richardsIndividualLevelSimulation,"Richards, Paul and Brennan, Alan",,DECISION_ANALYSIS(0.35); STAKEHOLDER_EXPERT(0.35); BAYESIAN_PROBABILISTIC(1.00); VALUE_INFORMATION(0.35); OPTIMIZATION(0.35),0.12,1,5,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Health economic modelling and value of information techniques provide an alternative framework for research study design to traditional statistical practice. These methods consider the expected increase in net-benefit gained by carrying out a study and re-evaluating the optimal decision. The potential value of different study designs can be assessed by considering their associated EVSI, which requires a mechanism for the generation of study results. The technique of Bayesian clinical trial simulation (BCTS) can be used for this purpose. Both health economic modelling and BCTS require the specification of a prior distribution on parameters describing key characteristics of interest (for example, treatment efficacy or health state utility values). In the context of research planning it is likely that the direct evidence base will be small and so more generalised evidence synthesis methods will be required which permit the inclusion of indirect evidence and expert opinion.",Bayesian; bin; read CW
